teachable_lesson_id,codex_lesson_slug
49282120,dependency-injection-object-manager-magento
49393624,understand-software-architecture-magento
49416724,understand-project-directory-structure-magento
49692514,common-development-tools-magento
49692513,create-your-first-module-magento
49692512,mvc-routing-magento
49692515,create-controller-magento-jumpstart
49692511,constructor-property-promotion-magento
49692516,understand-interfaces-magento
49443335,class-preferences-service-contracts-magento
49443337,return-standard-page-response-magento
49443336,create-template-file-magento
49282090,understand-layout-xml-files-magento
49640260,display-template-block-magento
49640263,string-translation-magento
49640262,understand-view-models-within-mvc-magento
49640261,implement-view-model-within-layout-block-magento
49662460,next-steps-beyond-jumpstart
